Value,Count,Clip_OutRaster_LC20_BPS_220_tif,Clip_OutRaster_LC22_EVT_230_tif,BPS_MODEL,BPS_NAME,GROUPVEG,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,EVT_NAME,EVT_PHYS
103,940345.000000000000000,417,7053,10451_10_19,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Ponderosa Pine-Douglas-fir,Conifer,148,51,39,19,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,Conifer
104,40157.000000000000000,417,7140,10451_10_19,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Ponderosa Pine-Douglas-fir,Conifer,148,51,39,19,Northern Rocky Mountain Subalpine-Upper Montane Grassland,Grassland
105,205020.000000000000000,440,7053,11390_10_19,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,Grassland,17,-9999,-9999,17,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,Conifer
106,667.000000000000000,418,7010,10452_10_19,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Larch,Conifer,202,69,137,37,Northern Rocky Mountain Western Larch Savanna,Conifer
107,40480.000000000000000,440,7169,11390_10_19,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,Grassland,17,-9999,-9999,17,Northern Rocky Mountain Subalpine Deciduous Shrubland,Shrubland
108,25712.000000000000000,446,7056,11590_10_19,Rocky Mountain Montane Riparian Systems,Riparian,100,101,-9999,50,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer
109,183319.000000000000000,446,7967,11590_10_19,Rocky Mountain Montane Riparian Systems,Riparian,100,101,-9999,50,Western Cool Temperate Pasture and Hayland,Agricultural
110,488365.000000000000000,417,7106,10451_10_19,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Ponderosa Pine-Douglas-fir,Conifer,148,51,39,19,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,Shrubland
111,46627.000000000000000,421,7967,10470_10_19,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,Conifer,186,139,-9999,80,Western Cool Temperate Pasture and Hayland,Agricultural
112,112529.000000000000000,446,9011,11590_10_19,Rocky Mountain Montane Riparian Systems,Riparian,100,101,-9999,50,North American Arid West Emergent Marsh,Riparian
113,13949.000000000000000,431,7169,11060_10_19,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,Shrubland,100,446,-9999,82,Northern Rocky Mountain Subalpine Deciduous Shrubland,Shrubland
114,3855889.000000000000000,419,7045,10453_10_19,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Grand Fir,Conifer,223,106,-9999,72,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,Conifer
115,95779.000000000000000,448,7050,11610_9_10_19,Northern Rocky Mountain Conifer Swamp,Conifer,386,-9999,-9999,386,Rocky Mountain Lodgepole Pine Forest,Conifer
116,6312.000000000000000,418,7106,10452_10_19,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Larch,Conifer,202,69,137,37,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,Shrubland
117,993.000000000000000,441,7056,11400_10_19,Northern Rocky Mountain Subalpine-Upper Montane Grassland,Grassland,146,-9999,-9999,146,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer
118,56692.000000000000000,446,7139,11590_10_19,Rocky Mountain Montane Riparian Systems,Riparian,100,101,-9999,50,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,Grassland
119,18237.000000000000000,446,9018,11590_10_19,Rocky Mountain Montane Riparian Systems,Riparian,100,101,-9999,50,Rocky Mountain Cliff Canyon and Massive Bedrock,Sparsely Vegetated
120,79574.000000000000000,448,7045,11610_9_10_19,Northern Rocky Mountain Conifer Swamp,Conifer,386,-9999,-9999,386,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,Conifer
121,1085.000000000000000,431,7056,11060_10_19,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,Shrubland,100,446,-9999,82,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer
122,202492.000000000000000,417,7139,10451_10_19,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Ponderosa Pine-Douglas-fir,Conifer,148,51,39,19,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,Grassland
123,129740.000000000000000,446,7053,11590_10_19,Rocky Mountain Montane Riparian Systems,Riparian,100,101,-9999,50,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,Conifer
124,11870.000000000000000,418,7053,10452_10_19,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Larch,Conifer,202,69,137,37,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,Conifer
125,286539.000000000000000,417,7145,10451_10_19,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Ponderosa Pine-Douglas-fir,Conifer,148,51,39,19,Rocky Mountain Subalpine-Montane Mesic Meadow,Grassland
